uuid,Name,Product Code,Density,Density Range,Measured Ref. Index - AVG,RI Range,Product Line,Aroma Color,Notes Color (Secondary),Intensity 1-10,Cannabis Forward,Fruity Forward,Dessert Forward,Odor Type,Odor Description,Tags,Family Type,Main Terpenes,Density g/cc,Density_avg,Refractive_Index_avg
ef1a6e9b-ab4e-401d-bae5-6590d3626f2a,Sour Note,10-503-9999,"0.8569, 0.8616, 0.852, 0.8627, 0.8452, 0.8476, 0.8496, 0.8364, 0.8256, 0.8566, 0.8624, 0.8612, 0.8624, 0.8592, 0.8614, 0.8466",0.819 - 0.887,"1.4749, 1.4749, 1.4748, 1.4762, 1.4730, 1.4764, 1.4762, 1.4765, 1.4760, 1.4752, 1.4757, 1.4759, 1.4753, 1.4769, 1.4763, 1.4768",1.446 - 1.505,Enhancer Line,#8ec471,#679c34,7.5,3,4,0,Sour Lime,"resents a unique balance of sweet-tartness paired with a zesty punch, reminiscent of the refreshing tang found in famous cannabis strains like Sour Diesel and Haze. It’s a well-rounded and complementary note that perfectly balances fresh, fruity layers with a strong sour scent.","Lemonade, Lime, Sour, Lemon, Candy, Gummy, sharp, yuzu",Sour,"Gamma Terpinene, Limonene, Alpha Terpineol",,0.8529625,1.4756875
91d10856-68ac-468f-9c7d-ec1ea27fd482,Sour Patch Blue Razz,10-24-9999,"0.839, 0.8306, 0.844, 0.8594, 0.8632, 0.8342, 0.8342, 0.8342, 0.8632, 0.8342, 0.8342, 0.8586, 0.8414, 0.8470, 0.8598, 0.8556, 0.8528, 0.8232",0.811 - 0.879,"1.4689, 1.4697, 1.473, 1.4703, 1.4718, 1.4718, 1.4718, 1.4718, 1.4718, 1.4718, 1.4718, 1.4706, 1.4721, 1.4722, 1.4711, 1.4730, 1.4732, 1.4730",1.442 - 1.501,Enhancer Line,#4232c9,#eebcbc,7.5,0,4,2,Sour Candy Blue Raspberry,Experience a burst of sour brilliance followed by a wave of sweet blue raspberry that tantalizes your taste buds with a playful mix of sour and sweet.,"Lime, raspberry, Sour, sweet, Candy, Blueberry",Candy,"Limonene, linalool, Alpha Terpineol",,0.844933333,1.47165
59ea520b-b678-4c0f-b799-9980588ed525,Sour Patch Cherry Pie,10-25-9999,"0.8626, 0.851, 0.8532, 0.8506, 0.851, 0.8206",0.814 - 0.882,"1.4775, 1.4771, 1.4779, 1.4772, 1.4771, 1.4791",1.448 - 1.507,Enhancer Line,#880f0f,#d7db75,6,1,4,,Sour Patch Cherry,Sweet & Sour playful profile of cherries and sour candy,"Lime, Cherry, Sour, Candy",Candy,"Limonene, Myrcene, Beta Caryophyllene",,0.848166667,1.47765
2b4cae86-0862-4fb3-8a6e-b27c8e7075a2,Sour Patch Strawberry,10/10/9999,"0.8512, 0.8556, 0.8526, 0.858, 0.858, 0.8634, 0.8578, 0.8352, 0.8488, 0.8524, 0.7996, 0.8578, 0.8488, 0.8352, 0.8488, 0.8672, 0.8674, 0.8652, 0.8618, 0.8176",0.816 - 0.884,"1.4699, 1.4697, 1.4716, 1.4708, 1.4718, 1.4707, 1.4708, 1.4704, 1.4697, 1.4697, 1.4700, 1.4708, 1.4697, 1.4704, 1.4697, 1.4717, 1.4708, 1.4713, 1.4719, 1.4719",1.441 - 1.5,Enhancer Line,#d65a5a,#eebcbc,7.5,0,4,2,Sour Candy Strawberry,"Delight in the tangy spark of sour sugar coating that transitions into a sweet, lush strawberry finish, perfectly capturing the classic candy’s essence.","Lime, strawberry, Sour, sweet, Candy",Candy,"Limonene, Beta Caryophyllene, Alpha Terpineol",,0.85012,1.470665
1f6d745e-1fe1-4215-884f-740b4b5c967b,Sour Patch Watermelon,10-14-9999,"0.8316, 0.8408, 0.8424, 0.8532, 0.847, 0.858, 0.8492, 0.8422, 0.8448, 0.8438, 0.8538, 0.8546, 0.8546, 0.8422, 0.8492, 0.8438, 0.8450, 0.827",0.812 - 0.880,"1.4709, 1.4724, 1.4763, 1.4747, 1.4742, 1.4754, 1.474, 1.4744, 1.473, 1.4739, 1.4743, 1.4745, 1.4745, 1.4744, 1.474, 1.4739, 1.4751, 1.4749",1.445 - 1.504,Enhancer Line,#ec4b4b,#eebcbc,6.5,0,4,2,Sour Candy Watermelon,"Savor the sharp, sour kick that smoothly mellows into a refreshing and juicy watermelon sweetness, embodying the summer's favorite treat.","Lime, Sour, sweet, Candy, WatermelonNotes",Candy,"Limonene, Beta Caryophyllene, Alpha Terpineol",,0.845733333,1.474155556
ceee69d0-aa4a-4ff2-b5c4-182a3dfb8ec9,Sparkle Strawberry,10-508-9999,"0.8843, 0.883, 0.8815, 0.8607, 0.8584, 0.8656, 0.8466, 0.8608, 0.8578, 0.8772, 0.8690, 0.8610, 0.8814, 0.8788, 0.8582",0.834 - 0.903,"1.4835, 1.4802, 1.4804, 1.4806, 1.4816, 1.4806, 1.4810, 1.4839, 1.4832, 1.4820, 1.4826, 1.4822, 1.4831, 1.4837, 1.4838",1.453 - 1.512,Enhancer Line,#c81a9d,#dd0b0b,8,,3,,Floral Strawberry,"Sweet candy like strawberry , lollypop","strawberry, sweet, Candy, toot",Candy,"Beta Caryophyllene, Limonene, Alpha Bisabolol",0.8828,0.868286667,1.48216
1a38d778-1ab3-45a3-bca3-3f27bc88ebed,Strawberry Cheesecake,10-22-9999,"0.8434, 0.871, 0.8696, 0.893, 0.8724, 0.873, 0.8712, 0.8798, 0.8904, 0.871, 0.8916, 0.8798, 0.8798, 0.8822, 0.8718",0.841 - 0.911,"1.4804, 1.4789, 1.4778, 1.47808, 1.4805, 1.4806, 1.4810, 1.4803, 1.4809, 1.4795, 1.4803, 1.4803, 1.4803, 1.4809, 1.4816",1.45 - 1.51,Enhancer Line,#f3b872,#ffdada,7,0,3,3,Citrus Waffles,Sweet citrus but bit sour depth with dope Cheesecake aromas and light strawberry jam notes,"citrus, strawberry, LemonPie, Waffles","Citrus, Dough","Myrcene, Limonene, Beta Caryophyllene",,0.876,1.480092
a1c3a370-ea8f-4806-ac0d-f52a052dc6ff,Sweet Watermelon,10-520-9999,".8554, 0.8393, 0.8461, 0.835, 0.8308, 0.8408, 0.8328, 0.8352, 0.8494, 0.8574",0.809 - 0.876,"1.4670, 1.471, 1.4708, 1.4331, 1.4704, 1.4713, 1.4721, 1.4711, 1.4725, 1.4724",1.438 - 1.497,Enhancer Line,#f74426,#e139c4,6.5,,4,,Watermelon Candy,Sweet watermelon candy,"FruitJuice, Candy, WatermelonNotes","Fruity, Sweet","Myrcene, Limonene, Beta Caryophyllene",,0.84222,1.46717
c88e676b-e90d-435e-a065-f2194a3c7441,Tart Apricot,10-516-9999,"0.9096, 0.8974, 0.8729, 0.853, 0.8552, 0.8672, 0.899, 0.8788, 0.8762",0.844 - 0.914,"1.4816, 1.4802, 1.4829, 1.4820, 1.4823, 1.4808, 1.4824, 1.4816, 1.4840",1.452 - 1.512,Enhancer Line,#ffb30c,#ffde79,8.5,,4,1,Tropical Dough,"Caramelized apricot flavors are the prominent notes in this SKU, with a tropical touch and a finish that tastes of pastry dough.","Apricot, tropical, sweet, pastries","Fruity, Tropical","Beta Caryophyllene, Humulene, linalool",0.916,0.878811111,1.481977778
afb92616-37b4-4828-a548-695b39005a26,Tricks Milk - Enhancer,10/04/9999,".883, 0.8466, 0.8598, 0.8548, 0.8494, 0.8526, 0.875, 0.8592, 0.8794, 0.8526, 0.8494, 0.8796, 0.8592, 0.8768, 0.8592, 0.8794, 0.8572, 0.8690, 0.8672",0.829 - 0.898,"1.4775, 1.4786, 1.4799, 1.4778, 1.4802, 1.4810, 1.4796, 1.4798, 1.48, 1.4810, 1.4802, 1.4781, 1.4798, 1.4807, 1.4798, 1.48, 1.4812, 1.4810, 1.4814",1.45 - 1.509,Enhancer Line,#e7e1c4,#f5abab,7,0,4,3,Banana Milk,"Taste like Trix ceral Milk, creamy, soft and fruity.
Sweet, fruity, and unapologetically nostalgic. This flavor captures the exact sensation of finishing a bowl of fruity cereal, that leftover milk, now thick with color, sugar, and playful artificial fruit notes. The opening is bright and punchy: berry-citrus candy, powdery fruit loops, and a soft vanilla-milk haze that rounds it out. There’s a creamy body underneath  cereal-soaked milk, lightly buttery, with hints of malted grain and melted sugar dust. It’s warm, sweet, and familiar, with a long-lasting finish that feels like the last sip from the bowl - milky, fruity, and perfectly synthetic.","caramel, milk, Banana, Cereals","creamy, Fruity","Beta Caryophyllene, Limonene, Myrcene",,0.863652632,1.479873684
