2026-03-05 12:01:49,227 | INFO | FORM_SUBMIT payload={"odor_type": "Diesel", "family_type": "Herbal", "tags": "pine,glue", "odor_description": "test", "intensity_1_10": 5, "cannabis_forward": 0, "fruity_forward": 0, "dessert_forward": 0}
2026-03-05 12:01:49,246 | INFO | TOP5 [{"name": "AK-47 Alpha", "score": 0.706667, "why": {"odor_type": 1.0, "family_type": 1.0, "tags": 0.5, "description": 0.0, "intensity": 0.8333, "forwardness": 0.5}}, {"name": "OG Formulation", "score": 0.43, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 0.5}}, {"name": "ANX Formulation", "score": 0.43, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 0.5}}, {"name": "STV", "score": 0.43, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 0.5}}, {"name": "Red Lebanese Hashish", "score": 0.408056, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.125, "description": 0.0, "intensity": 0.7778, "forwardness": 0.5}}]
2026-03-05 12:02:05,409 | INFO | DB already has 289 formulations. Skipping CSV load.
2026-03-05 12:05:36,529 | INFO | DB already has 289 formulations. Skipping CSV load.
2026-03-05 12:05:54,905 | INFO | DB already has 289 formulations. Skipping CSV load.
2026-03-05 12:06:54,299 | INFO | DB already has 289 formulations. Skipping CSV load.
2026-03-05 12:10:51,622 | INFO | DB already has 289 formulations. Skipping CSV load.
2026-03-05 12:11:35,518 | INFO | DB already has 289 formulations. Skipping CSV load.
2026-03-05 12:12:06,292 | INFO | DB already has 289 formulations. Skipping CSV load.
2026-03-05 12:14:19,738 | INFO | DB already has 289 formulations. Skipping CSV load.
2026-03-05 12:16:29,098 | INFO | DB already has 289 formulations. Skipping CSV load.
2026-03-05 12:17:16,796 | INFO | DB already has 289 formulations. Skipping CSV load.
2026-03-05 12:17:30,527 | INFO | DB already has 289 formulations. Skipping CSV load.
2026-03-05 12:22:48,627 | INFO | DB already has 289 formulations. Skipping CSV load.
2026-03-05 12:23:17,929 | INFO | FORM_SUBMIT payload={"odor_type": "diesel", "family_type": "herbal", "tags": "pine", "odor_description": "gluey", "intensity_1_10": 5, "cannabis_forward": 5, "fruity_forward": 4, "dessert_forward": 3}
2026-03-05 12:23:17,958 | INFO | TOP5 [{"name": "AK-47 Alpha", "score": 0.697022, "why": {"odor_type": 1.0, "family_type": 1.0, "tags": 0.25, "description": 0.0, "intensity": 0.8333, "forwardness": 0.8536}}, {"name": "OG Formulation", "score": 0.465355, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 0.8536}}, {"name": "STV", "score": 0.465355, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 0.8536}}, {"name": "ANX Formulation", "score": 0.458284, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 0.7828}}, {"name": "Forbidden Fruit +", "score": 0.45205, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 0.8889, "forwardness": 0.9427}}]
2026-03-05 12:25:05,935 | INFO | DB already has 289 formulations. Skipping CSV load.
2026-03-05 12:26:01,316 | INFO | DB already has 289 formulations. Skipping CSV load.
2026-03-05 12:28:02,304 | INFO | DB already has 289 formulations. Skipping CSV load.
2026-03-05 12:29:21,865 | INFO | FORM_SUBMIT payload={"odor_type": "diesel", "family_type": "herbal", "tags": "pine", "odor_description": "gluey", "intensity_1_10": 5, "cannabis_forward": 6, "fruity_forward": 5, "dessert_forward": 6}
2026-03-05 12:29:21,895 | INFO | TOP5 [{"name": "AK-47 Alpha", "score": 0.692127, "why": {"odor_type": 1.0, "family_type": 1.0, "tags": 0.25, "description": 0.0, "intensity": 0.8333, "forwardness": 0.8046}}, {"name": "OG Formulation", "score": 0.46046, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 0.8046}}, {"name": "STV", "score": 0.46046, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 0.8046}}, {"name": "ANX Formulation", "score": 0.455384, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 0.7538}}, {"name": "Forbidden Fruit +", "score": 0.446374, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 0.8889, "forwardness": 0.886}}]
2026-03-05 12:32:30,724 | INFO | FORM_SUBMIT payload={"odor_type": "diesel", "family_type": "herbal", "tags": "pine", "odor_description": "glue", "intensity_1_10": 5, "cannabis_forward": 7, "fruity_forward": 0, "dessert_forward": 0}
2026-03-05 12:32:30,746 | INFO | TOP5 [{"name": "AK-47 Alpha", "score": 0.711667, "why": {"odor_type": 1.0, "family_type": 1.0, "tags": 0.25, "description": 0.0, "intensity": 0.8333, "forwardness": 1.0}}, {"name": "OG Formulation", "score": 0.48, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 1.0}}, {"name": "STV", "score": 0.48, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 1.0}}, {"name": "Red Lebanese Hashish", "score": 0.46127, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.1429, "description": 0.0, "intensity": 0.7778, "forwardness": 1.0}}, {"name": "Amnesia Haze", "score": 0.457778, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 0.8889, "forwardness": 1.0}}]
2026-03-05 12:34:42,919 | INFO | FORM_SUBMIT payload={"odor_type": "diesel", "family_type": "herbal", "tags": "pine", "odor_description": "glue", "intensity_1_10": 5, "cannabis_forward": 7, "fruity_forward": 0, "dessert_forward": 0}
2026-03-05 12:34:42,942 | INFO | TOP5 [{"name": "AK-47 Alpha", "score": 0.711667, "why": {"odor_type": 1.0, "family_type": 1.0, "tags": 0.25, "description": 0.0, "intensity": 0.8333, "forwardness": 1.0}}, {"name": "OG Formulation", "score": 0.48, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 1.0}}, {"name": "STV", "score": 0.48, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 1.0}}, {"name": "Red Lebanese Hashish", "score": 0.46127, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.1429, "description": 0.0, "intensity": 0.7778, "forwardness": 1.0}}, {"name": "Amnesia Haze", "score": 0.457778, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 0.8889, "forwardness": 1.0}}]
2026-03-05 12:35:22,318 | INFO | FORM_SUBMIT payload={"odor_type": "diesel", "family_type": "herbal", "tags": "pine", "odor_description": "glue", "intensity_1_10": 5, "cannabis_forward": 7, "fruity_forward": 0, "dessert_forward": 0}
2026-03-05 12:35:22,328 | INFO | TOP5 [{"name": "AK-47 Alpha", "score": 0.711667, "why": {"odor_type": 1.0, "family_type": 1.0, "tags": 0.25, "description": 0.0, "intensity": 0.8333, "forwardness": 1.0}}, {"name": "OG Formulation", "score": 0.48, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 1.0}}, {"name": "STV", "score": 0.48, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 1.0}}, {"name": "Red Lebanese Hashish", "score": 0.46127, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.1429, "description": 0.0, "intensity": 0.7778, "forwardness": 1.0}}, {"name": "Amnesia Haze", "score": 0.457778, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 0.8889, "forwardness": 1.0}}]
2026-03-05 12:44:02,277 | INFO | FORM_SUBMIT payload={"odor_type": "diesel", "family_type": "herbal", "tags": "pine", "odor_description": "glue", "intensity_1_10": 5, "cannabis_forward": 7, "fruity_forward": 0, "dessert_forward": 0}
2026-03-05 12:44:02,301 | INFO | TOP5 [{"name": "AK-47 Alpha", "score": 0.711667, "why": {"odor_type": 1.0, "family_type": 1.0, "tags": 0.25, "description": 0.0, "intensity": 0.8333, "forwardness": 1.0}}, {"name": "OG Formulation", "score": 0.48, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 1.0}}, {"name": "STV", "score": 0.48, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 1.0}}, {"name": "Red Lebanese Hashish", "score": 0.46127, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.1429, "description": 0.0, "intensity": 0.7778, "forwardness": 1.0}}, {"name": "Amnesia Haze", "score": 0.457778, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 0.8889, "forwardness": 1.0}}]
2026-03-05 12:46:14,138 | INFO | DB already has 289 formulations. Skipping CSV load.
2026-03-05 12:48:02,103 | INFO | FORM_SUBMIT payload={"odor_type": "diesel", "family_type": "herbal", "tags": "pine", "odor_description": "", "intensity_1_10": 5, "cannabis_forward": 2, "fruity_forward": 5, "dessert_forward": 8}
2026-03-05 12:48:02,137 | INFO | TOP5 [{"name": "AK-47 Alpha", "score": 0.672036, "why": {"odor_type": 1.0, "family_type": 1.0, "tags": 0.25, "description": 0.0, "intensity": 0.8333, "forwardness": 0.6037}}, {"name": "ANX Formulation", "score": 0.455924, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 0.7592}}, {"name": "OG Formulation", "score": 0.44037, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 0.6037}}, {"name": "STV", "score": 0.44037, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 0.6037}}, {"name": "Forbidden Fruit +", "score": 0.428646, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 0.8889, "forwardness": 0.7087}}]
2026-03-05 12:53:40,346 | INFO | FORM_SUBMIT payload={"odor_type": "diesel", "family_type": "herbal", "tags": "pine", "odor_description": "glue", "intensity_1_10": 5, "cannabis_forward": 7, "fruity_forward": 0, "dessert_forward": 0}
2026-03-05 12:53:40,369 | INFO | TOP5 [{"name": "AK-47 Alpha", "score": 0.711667, "why": {"odor_type": 1.0, "family_type": 1.0, "tags": 0.25, "description": 0.0, "intensity": 0.8333, "forwardness": 1.0}}, {"name": "OG Formulation", "score": 0.48, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 1.0}}, {"name": "STV", "score": 0.48, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 1.0}}, {"name": "Red Lebanese Hashish", "score": 0.46127, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.1429, "description": 0.0, "intensity": 0.7778, "forwardness": 1.0}}, {"name": "Amnesia Haze", "score": 0.457778, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 0.8889, "forwardness": 1.0}}]
2026-03-05 12:59:04,919 | INFO | DB already has 289 formulations. Skipping CSV load.
2026-03-05 13:00:32,555 | INFO | DB already has 289 formulations. Skipping CSV load.
2026-03-05 13:01:57,641 | INFO | FORM_SUBMIT payload={"odor_type": "citrus", "family_type": "woody", "tags": "peppry", "odor_description": "citrus skunk peppry", "intensity_1_10": 9, "cannabis_forward": 10, "fruity_forward": 9, "dessert_forward": 8}
2026-03-05 13:01:57,672 | INFO | TOP5 [{"name": "Chemdawg", "score": 0.401806, "why": {"odor_type": 1.0, "family_type": 0.0, "tags": 0.0, "description": 0.0, "intensity": 0.4444, "forwardness": 0.9292}}, {"name": "Black Domina", "score": 0.366317, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.05, "intensity": 0.4444, "forwardness": 0.9143}}, {"name": "Sour Diesel +", "score": 0.343206, "why": {"odor_type": 0.3, "family_type": 0.0, "tags": 0.0, "description": 0.0667, "intensity": 0.8889, "forwardness": 0.9143}}, {"name": "Tangie +", "score": 0.317267, "why": {"odor_type": 0.3, "family_type": 0.0, "tags": 0.0, "description": 0.0526, "intensity": 0.7778, "forwardness": 0.894}}, {"name": "Strawberry Cheesecake", "score": 0.317013, "why": {"odor_type": 0.3, "family_type": 0.0, "tags": 0.0, "description": 0.0588, "intensity": 0.7778, "forwardness": 0.884}}]
2026-03-05 13:06:58,455 | INFO | DB already has 289 formulations. Skipping CSV load.
2026-03-05 13:08:12,639 | INFO | FORM_SUBMIT payload={"odor_type": "diesel", "family_type": "herbal", "tags": "pine", "odor_description": "glue", "intensity_1_10": 5, "cannabis_forward": 7, "fruity_forward": 0, "dessert_forward": 0}
